Entry,Protein names
A0A4W3I6J4,Transient receptor potential cation channel subfamily M member 1
D7FXB0,Ion transport domain-containing protein
R7U742,Ion transport domain-containing protein
E0VEA3,"Voltage-gated ion channel, putative"
A0A5B8MHY3,Ion transporter
A0A6J8E1X7,TRPM3
A0A6P4ZZG3,Voltage-dependent T-type calcium channel subunit alpha
V8PC75,Voltage-dependent R-type calcium channel subunit alpha-1E
A0A6A4KP26,Potassium channel
A0A2V0P7X9,Potassium voltage-gated subfamily H(Eag-related) member
A0BSZ5,"Chromosome undetermined scaffold_126, whole genome shotgun sequence"
A0A553P478,Ion transport domain-containing protein
A0EBL1,"Chromosome undetermined scaffold_88, whole genome shotgun sequence"
A0A226EQN7,Transient receptor potential channel pyrexia
A0A6L5DI30,Ion transport domain-containing protein
A0A4W3J3T6,Voltage-dependent L-type calcium channel subunit alpha
A0A6P8HPV7,cyclic nucleotide-gated olfactory channel-like isoform X1
A0A2Z6R7R1,Ion transport domain-containing protein
A0A210PQI3,Potassium voltage-gated channel protein Shaw
A0A7M7PS66,Voltage-dependent calcium channel alpha-1 subunit IQ domain-containing protein
R7UIP2,BTB domain-containing protein
A0A4E0QYD2,Potassium voltage-gated channel subfamily H member 7
A0A4W3HT59,Two pore segment channel 1
A0A5B7GCA4,Potassium voltage-gated channel subfamily KQT member 1
X6MXI4,Ion transport domain-containing protein
R7TTK8,BTB domain-containing protein
A0A6P8ZU72,voltage-dependent calcium channel type A subunit alpha-1 isoform X20
A0A0G4GPL9,EF-hand domain-containing protein
A0A4Z2GL97,Transient receptor potential cation channel subfamily M member 2
A0A3N1Y1P8,Voltage-gated potassium channel
A0A6P4ZSK3,short transient receptor potential channel 5-like
A0A3M7P4P1,Potassium voltage-gated channel Shal isoform X1
A0A2F0BNA9,Transient receptor potential cation channel subfamily V member 2
A0A178UEB5,(thale cress) hypothetical protein (CNGC18)
A0A6P8ZQU0,transient receptor potential cation channel protein painless isoform X2
A0A2G9TEK6,Ion transport domain-containing protein
A0A024UM64,Cyclic nucleotide-binding domain-containing protein
A0A6P5ADR6,transient receptor potential cation channel subfamily M member 1-like isoform X2
A0A4E0S2N2,Potassium voltage-gated channel protein Shaw
A0A3P6S1X9,Ion transport domain-containing protein
A0A7M5WXN9,Uncharacterized protein
A0A4W3IRE2,non-specific serine/threonine protein kinase (EC 2.7.11.1)
A0A0M0JW25,Morn repeat-containing protein
A0A6H0XV61,Ion transport domain-containing protein
A7SI03,Uncharacterized protein
A0A6P8H794,potassium voltage-gated channel protein Shal-like isoform X2
A0A4W3J0W3,Potassium voltage-gated channel subfamily C member 4
A0A4W3III4,Voltage-dependent L-type calcium channel subunit alpha
A0A4Z2GAS5,Potassium voltage-gated channel subfamily KQT member 1
Q22SA3,Cation channel family transporter
A0A3P7MFI2,Ion transport domain-containing protein
A0DI39,"Chromosome undetermined scaffold_51, whole genome shotgun sequence"
A0A4V5ZZ99,Ion_trans domain-containing protein
A0A4Y7INJ1,Potassium channel
U6GUZ8,"Cation channel domain-containing protein, putative"
A0A397W0F4,Ion transport domain-containing protein
A0A1R2CKD4,Cyclic nucleotide-binding domain-containing protein
V8P4F0,Ion transport domain-containing protein
E9PWL1,Voltage-dependent T-type calcium channel subunit alpha
A0A6P4Z094,potassium voltage-gated channel protein Shal-like
A0A2V0P9N6,Ion transport domain-containing protein
A0A4U5NC12,BTB domain-containing protein
C1E1L1,Voltage-gated ion channel superfamily
A0A2K3NPX1,Cyclic nucleotide-gated ion channel 2-like protein
U6JY67,"Cation channel family domain-containing protein, putative"
A0A6P8J5B5,transient receptor potential cation channel subfamily A member 1-like
A0A653CLG8,EF-hand domain-containing protein
A0A4W3IGG8,Potassium voltage-gated channel subfamily D member 2 (Voltage-gated potassium channel subunit Kv4.2)
I1KAP5,Cyclic nucleotide-binding domain-containing protein
A0A3S4QHG7,Transient receptor potential cation channel subfamily V member 5-like protein
A0A267DFA7,EF-hand domain-containing protein
M7BFN6,"Inositol 1,4,5-trisphosphate receptor"
T1H8V5,Ion transport domain-containing protein
A0A6L2PZU4,Ion transport domain-containing protein
F6TMZ9,BTB domain-containing protein
A0A4S2LZ87,BTB domain-containing protein
A0A087T9Q1,Potassium voltage-gated channel protein Shaw
A0A1S4GU34,Sodium channel protein
A0A1D1UKW7,Ion transport domain-containing protein
X6MV03,Ion transport domain-containing protein
V4C6I8,Voltage-gated hydrogen channel 1 (Hydrogen voltage-gated channel 1)
A0A158QKC6,Ion transport domain-containing protein
A0A2K3DNV4,Cyclic nucleotide-binding domain-containing protein
A0A1Q9DRP0,E3 ubiquitin-protein ligase HERC2
A0A2G9TM20,Ion transport domain-containing protein
O65717,Cyclic nucleotide-gated ion channel 1 (AtCNGC1) (Cyclic nucleotide- and calmodulin-regulated ion channel 1)
L1J8I6,Cyclic nucleotide-binding domain-containing protein
A0A0M3KI11,Voltage-dependent calcium channel (inferred by orthology to a S. mansoni protein)
T1FXP5,Cyclic nucleotide-binding domain-containing protein
A0A078AV37,Cation channel family protein
A0A2G9TCP8,"Transporter, cation channel family protein"
Q8TAE7,Potassium voltage-gated channel subfamily G member 3 (Voltage-gated potassium channel subunit Kv10.1) (Voltage-gated potassium channel subunit Kv6.3)
K7MJ10,Cyclic nucleotide-binding domain-containing protein
I1M9L1,Potassium channel
A0A7E6FHB3,sodium leak channel non-selective protein-like isoform X3
A0A6L2PXI3,Ion transport domain-containing protein
Q92953,Potassium voltage-gated channel subfamily B member 2 (Voltage-gated potassium channel subunit Kv2.2)
A0BZH2,"Chromosome undetermined scaffold_139, whole genome shotgun sequence"
A0A654GLU7,Cyclic nucleotide-binding domain-containing protein
A0A662YUR7,Transient receptor potential cation channel subfamily M member 2
A0A1J1IU73,"CLUMA_CG016560, isoform A"
A0A024UVH2,MIR domain-containing protein
A0A4U5NWI3,BTB domain-containing protein
R7UPC6,Uncharacterized protein
A0A482WM51,BTB domain-containing protein
A0A2G8LAS8,Hyperpolarization-activated (Ih) channel
A0BWH4,"Chromosome undetermined scaffold_132, whole genome shotgun sequence"
A0A1Y2GAF9,Ion transport protein-domain-containing protein
A0A4S2MCV8,"Inositol 1,4,5-trisphosphate receptor"
A0A3Q0KRX8,Putative transient receptor potential channel
A0A016X1S3,LSDAT_euk domain-containing protein
A0A4W3IAC6,Voltage-dependent L-type calcium channel subunit alpha
A0A6P8HWB1,uncharacterized protein LOC116295848
A0A1Q9CIK8,Calmodulin
A0A1Q9E3R1,Calmodulin
W7T2S1,Voltage-gated ion channel superfamily
A0A397IYE5,Ion transport domain-containing protein
A0A3P7QB48,Uncharacterized protein
A0A6P4Y4N7,Voltage-dependent L-type calcium channel subunit alpha
A0A328D1B9,Potassium channel
A0E696,"Chromosome undetermined scaffold_8, whole genome shotgun sequence"
G0QPV1,Cyclic nucleotide-binding domain-containing protein
M7ALP3,Voltage-dependent L-type calcium channel subunit alpha-1C
A0A087SGE3,Potassium channel AKT1
A0A6I9HUE3,Potassium voltage-gated channel subfamily V member 1 (Voltage-gated potassium channel subunit Kv8.1)
A0A0N4VKY7,BTB domain-containing protein
A0A1Q9EFL4,Putative voltage-dependent R-type calcium channel subunit alpha-1E
A0A4W3J485,Ion transport domain-containing protein
A0A6L5DH04,Sodium channel protein
E4XCE4,BTB domain-containing protein
A0A4Y2TUA6,Sodium leak channel non-selective protein
A0CU16,"Chromosome undetermined scaffold_28, whole genome shotgun sequence"
A0A4W3GRW8,Voltage-dependent R-type calcium channel subunit alpha
A0A6P8ID53,potassium voltage-gated channel subfamily H member 6-like isoform X3
A0A7E6FBD5,potassium voltage-gated channel protein Shaw-like isoform X2
E0A9E1,"No mechanoreceptor potential C isoform L (No mechanoreceptor potential C, isoform E)"
A0A6P8HLV1,potassium voltage-gated channel subfamily H member 2-like isoform X2
A0A210PFC1,Transient receptor potential cation channel subfamily M member 8
A0A0B2UYQ4,Transient-receptor-potential-like protein
D7G6K7,Transient Receptor Potential Channel. C terminally truncated
A0A6P8ICT7,transient receptor potential cation channel subfamily M member-like 2 isoform X2
A0A4Y7KM60,Cyclic nucleotide-binding domain-containing protein
T1FXE0,Ion transport domain-containing protein
M7C0S2,Potassium channel subfamily U member 1
F1QYL4,"Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)"
T1GAG4,Ion transport domain-containing protein
A0A4Y2KUL9,Voltage-dependent calcium channel type A subunit alpha-1
C5IJY6,"Transient receptor potential cation channel subfamily M member 8 (transient receptor potential cation channel, subfamily M, member 8 L homeolog) (transient receptor potential cation channel, subfamily M, member 8 L homeolog isoform X1)"
A0A0V0QEF2,MIR motif
A0A1Q9D8X0,Calmodulin
A0A4E0S236,Voltage-gated hydrogen channel 1 (Hydrogen voltage-gated channel 1)
A0A4W3JR24,"Inositol 1,4,5-trisphosphate receptor"
G3V720,"Potassium voltage-gated channel subfamily H member 6 (Potassium voltage-gated channel, subfamily H (Eag-related), member 6)"
A0JMD4,Two pore channel protein 2 (Two pore calcium channel protein 2) (Voltage-dependent calcium channel protein TPC2)
A0A1P6BW40,Voltage-dependent T-type calcium channel subunit alpha
A0A4W3GK39,Potassium voltage-gated channel subfamily B member 2
K7LED0,Cyclic nucleotide-binding domain-containing protein
A0A024U1Q7,Cyclic nucleotide-binding domain-containing protein
A0A3R7M3W0,Putative sodium channel protein 60E-like isoform X8
A0A0S4KJL9,"Voltage-gated calcium channel protein, putative"
A0A6J8BMK2,MIB (EC 2.3.2.27)
A0A6A4WFI6,Transient receptor potential channel pyrexia
A0A0V0Y7K3,Voltage-dependent calcium channel type A subunit alpha-1
A0A1S3ILB1,two pore calcium channel protein 1 isoform X4
P97445,"Voltage-dependent P/Q-type calcium channel subunit alpha-1A (Brain calcium channel I) (BI) (Calcium channel, L type, alpha-1 polypeptide isoform 4) (Voltage-gated calcium channel subunit alpha Cav2.1)"
A0A444UXM4,Voltage-dependent L-type calcium channel subunit alpha-1D
A0A1R2ATU2,Phosphodiesterase (EC 3.1.4.-)
A0A2G9TPW5,Ion transport domain-containing protein
D8LJT9,Cyclic nucleotide-binding domain-containing protein
G0QTW0,Phosphodiesterase (EC 3.1.4.-)
A0A2G8KUS3,"Inositol 1,4,5-trisphosphate receptor"
T1JZC8,Cyclic nucleotide-binding domain-containing protein
A2ARP9,Cation channel sperm-associated protein 2 (CatSper2)
G0QU32,"Voltage-gated ca2+ alpha subunit, putative"
A0A6I9HHS9,two pore calcium channel protein 1 isoform X1
A0A4Z2F8F2,Voltage-dependent T-type calcium channel subunit alpha-1H
A0A653CAR7,Ion transport domain-containing protein
A0A078BA73,3 5-cyclic nucleotide phosphodiesterase family protein
X6NF52,Ion transport domain-containing protein
Q22374,Ion_trans domain-containing protein
A0A1S3H9B8,"Inositol 1,4,5-trisphosphate receptor"
A0A1R2BN18,Ion transport domain-containing protein
E4X3V8,Ion transport domain-containing protein
A0A1I8GV72,ANK_REP_REGION domain-containing protein
A0A158NZ77,Ion transport domain-containing protein
A0A0V0R9A1,MIR motif
A0A261Y030,Ion transport domain-containing protein
L1ILP3,Ion transport domain-containing protein
F9W2X7,Sodium channel protein
H0ES61,Putative Calcium-channel protein cch1
A0A6P7S9A8,potassium voltage-gated channel protein Shaw isoform X2
A0A4E0RMV4,Cyclic nucleotide gated cation channel
P48995,Short transient receptor potential channel 1 (TrpC1) (Transient receptor protein 1) (TRP-1)
A0A4W3HYD2,Ryanodine receptor 1
A0A1R2B3P6,Cyclic nucleotide-binding domain-containing protein
A0A090MYS2,"Cyclic nucleotide-binding domain and Potassium channel, voltage-dependent, EAG/ELK/ERG family and RmlC-like jelly roll fold domain and Cyclic nucleotide-binding-like domain-containing protein"
A0A7M5UXK1,Sodium channel protein
A0A4Y2EI32,Sodium channel protein para
K1S0S1,Potassium voltage-gated channel subfamily A member 1
A0A078AH83,Wd-40 repeat protein
A0A0K0D4X0,Ion_trans domain-containing protein
A0A507EB95,Ion transport domain-containing protein
A0A6V7WZH6,Ion transport domain-containing protein
A0A1X7V4G0,Cyclic nucleotide-binding domain-containing protein
A0A553P7N5,Sodium channel protein
A0A7M5UVH5,Cyclic nucleotide-binding domain-containing protein
F0YKC5,EF-hand domain-containing protein
K1P2H6,Potassium voltage-gated channel protein Shaw
A0A183IGA0,EF-hand domain-containing protein
Q9KCR8,BH1501 protein
A0A090L2J5,Potassium voltage-gated channel subfamily H member 5
A0A183IFJ2,Cyclic nucleotide-binding domain-containing protein
C1FJI6,Voltage-gated ion channel superfamily
A0A5S9V964,Cyclic nucleotide-binding domain-containing protein
F6SYZ4,Cyclic nucleotide-binding domain-containing protein
L1IBE8,PH domain-containing protein
A0A3P6Q3G3,Ion transport domain-containing protein
L1IKT5,Cyclic nucleotide-binding domain-containing protein
A0A137PBT2,Voltage-gated hydrogen channel 1 (Hydrogen voltage-gated channel 1)
A0A6A4WSX7,Sodium channel protein para
A0A4E0R7H0,Hyperpolarization activated cyclic nucleotide-gated potassium channel
A0A2K1J509,Cyclic nucleotide-binding domain-containing protein
A0A4Z2ET81,Dihydropyridine-sensitive L-type skeletal muscle calcium channel subunit alpha-1
A0A2K3P4Z7,Potassium channel
A0A6P5AA77,Voltage-dependent T-type calcium channel subunit alpha
A0A6L2Q599,Potassium voltage-gated channel subfamily KQT member 5
A0A0B1S655,Ion transport domain-containing protein
A0A0V0R0K1,Ion transport domain-containing protein
A0A0C2T0C7,Ion transport domain-containing protein
A0A0N4VI23,BTB domain-containing protein
A0A499NPJ3,"Cyclic nucleotide-gated ion channel-like, isoform K"
A0A6P5ANA9,"Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)"
A0A4U8V627,Ion transport domain-containing protein
A0A2A2JIE8,Cyclic nucleotide-binding domain-containing protein
A0A6V7WNL2,Ion transport domain-containing protein
A0A0B4KGC3,"Uncharacterized protein, isoform D"
T1EQH2,Ion transport domain-containing protein
A0A1W1UDI0,Voltage-gated potassium channel
A0A1J4K6E5,Cation channel family protein
A0A177AUI5,Sodium channel protein
A0A3Q0IUN4,uncharacterized protein LOC103509972
K1Q1G5,Sodium channel protein
A0A7M7PSW1,Ion transport domain-containing protein
A0DCS2,"Chromosome undetermined scaffold_46, whole genome shotgun sequence"
B8PXK0,Two-pore calcium channel 3
J3K003,BTB domain-containing protein
A0A448Z7H5,Ion transport domain-containing protein
K7LED1,Ion transport domain-containing protein
E7FGL3,"Transient receptor potential cation channel, subfamily C, member 4a (short transient receptor potential channel 4 isoform X1)"
A0A5J4NXI2,Ryanodine receptor 2
A0A158R0P6,Transient-receptor-potential-like protein (inferred by orthology to a C. elegans protein)
A0A1R2AY84,Ion transport domain-containing protein
A0A0R0IIL0,Cyclic nucleotide-binding domain-containing protein
A0A7G2FK21,(thale cress) hypothetical protein
F0VMY5,Putative cation channel family domain-containing protein
A0A1Q9CWG5,Potassium voltage-gated channel subfamily KQT member 2
A0A7J7KFA7,KCNC1
I1N4H5,Cyclic nucleotide-binding domain-containing protein
A0A4W3JFX0,"Potassium voltage-gated channel, subfamily G, member 4a"
A0A177B1J6,Ion transport domain-containing protein
A0A1Q9ENT3,Calmodulin
D7FSJ3,Ion transport domain-containing protein
A0A158PC78,Ion transport domain-containing protein
A0A444TZV6,Potassium voltage-gated channel subfamily S member 2
A0A4Z2IUL6,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4
A0A2R6QI50,Cyclic nucleotide-gated ion channel like
A0A1D1V0V9,BTB domain-containing protein
A0A0G4GHG1,Ion transport domain-containing protein
A0A6P6XR74,two pore calcium channel protein 1-like
B8C715,Ion transport domain-containing protein
A0A662YLW2,Sodium channel protein type 3 subunit alpha
A0A7M7STS3,Potassium voltage-gated channel subfamily H member 8
A0A4C2A9I9,Transient receptor potential channel pyrexia
A0A0B4KF62,"KCNQ potassium channel, isoform G"
A0A2W1N0G9,Ion transporter
A0A1W2PS62,Potassium voltage-gated channel subfamily H member 1
A0A1D2YWC1,Ion transport domain-containing protein
A0A267F0D1,Ion transport domain-containing protein
A0A7J7JLV3,Ion transport domain-containing protein
A0A2J6L087,Potassium channel
A0A662YW35,Ryanodine receptor 2
E0VIQ8,"Voltage-gated channel, putative"
A0A6P4YJ50,LOW QUALITY PROTEIN: potassium voltage-gated channel subfamily C member 1-like
A0BZ03,"Chromosome undetermined scaffold_138, whole genome shotgun sequence"
A0A3S3PKB1,Potassium voltage-gated channel protein Shaw-like protein
A0A1R2ARY6,Ion transport domain-containing protein
B7GD14,EF-hand domain-containing protein
A0A7E6FM76,potassium voltage-gated channel subfamily H member 8-like isoform X5
S8E453,Cyclic nucleotide-binding domain-containing protein
A0A2A2LIC8,Ion transport domain-containing protein
A0A0G4FVJ8,Cyclic nucleotide-binding domain-containing protein
A0A1Q9D8I4,Sodium channel protein 1 brain
R7AGY8,Ion transport protein
Q7PW88,AGAP009050-PA
A0A6J8AW06,BTB domain-containing protein
A0A6J8CGJ3,MIB (EC 2.3.2.27)
A0A6V7VFQ0,Ion transport domain-containing protein
A0A016V403,Uncharacterized protein
A0A1D5PCF8,Potassium voltage-gated channel modifier subfamily S member 2
A0A024TUF1,Ion transport domain-containing protein
A1L1H8,MGC115225 protein (two pore segment channel 2 L homeolog isoform X1)
H2CJR7,Ion transport protein
M7BRT3,Potassium voltage-gated channel subfamily A member 5 (Voltage-gated potassium channel subunit Kv1.5)
P08104,Sodium channel protein type 3 subunit alpha (Sodium channel protein brain III subunit alpha) (Sodium channel protein type III subunit alpha) (Voltage-gated sodium channel subtype III) (Voltage-gated sodium channel subunit alpha Nav1.3)
A0A177B7S5,Ion transport domain-containing protein
A0BGT3,"Chromosome undetermined scaffold_106, whole genome shotgun sequence"
K7KZ66,Cyclic nucleotide-binding domain-containing protein
A0A0M0J913,Voltage-gated ion channel superfamily
A0A6J8CTK7,TRPM8
A0A4W3IPF9,"Potassium voltage-gated channel, subfamily G, member 4a"
K1Q7Z4,Potassium voltage-gated channel subfamily A member 1
A0A3N2DMF2,Voltage-gated potassium channel
A0A4W3HZU5,Potassium voltage-gated channel subfamily KQT member 1-like
A0A183IZY9,Ion_trans_2 domain-containing protein
A0A1U7JDL1,Voltage-gated sodium channel
A0A7I8W837,Sodium channel protein
A0A231UXN3,Voltage-gated sodium channel
E4XG73,VWFA domain-containing protein
A0BDK7,"Chromosome undetermined scaffold_100, whole genome shotgun sequence"
A0A7G2EZ44,(thale cress) hypothetical protein
A8JUY8,"Ca[2+]-channel protein alpha[[1]] subunit T, isoform C"
S4RZW7,"Potassium voltage-gated channel 5a (Potassium voltage-gated channel, subfamily F, member 1b)"
T1HEU2,Ion transport domain-containing protein
A0A7M7SX55,Ion transport domain-containing protein
A0A1S3H5C8,potassium voltage-gated channel protein Shaw-like
F1LMD7,"Transient receptor potential cation channel, subfamily M, member 5"
A0A662YRE9,Potassium voltage-gated channel subfamily H member 7
A0A016VFY7,Voltage-dependent L-type calcium channel subunit alpha
A0A2K3E314,Ion transport domain-containing protein
A0A7J7J8R2,Nan
A0A4W3INP6,Potassium voltage-gated channel modifier subfamily G member 1
A0A137P8J8,Voltage-gated hydrogen channel 1 (Hydrogen voltage-gated channel 1)
A0A7I4B0M8,EF-hand domain-containing protein
Q9N4C1,Cyclic nucleotide-binding domain-containing protein
M7BFU2,Voltage-dependent R-type calcium channel subunit alpha-1E
A0A1Q9D4W5,Potassium voltage-gated channel subfamily H member 6
A0A6P4Y4I8,transient receptor potential cation channel subfamily A member 1-like isoform X2
A7RLG2,BTB domain-containing protein
E9H3Z8,Voltage-gated hydrogen channel 1 (Hydrogen voltage-gated channel 1)
A0A0B1T4F9,K+ channel tetramerization domain protein
R1G167,Ion transport domain-containing protein
A0A2A2LLB9,BTB domain-containing protein
A0A5A8DD93,Cyclic nucleotide-binding domain-containing protein
A0A078AB03,Serine threonine protein kinase
A0A7I8V3N4,DgyrCDS24
A7RLE3,Ion transport domain-containing protein
A0A4Z2IMM7,Potassium voltage-gated channel subfamily H member 8
V3ZQT8,BTB domain-containing protein
X6MXW2,"Calcium channel, voltage-dependent, L type, alpha 1C subunit isoform 8"
A0A7M7NFY1,Ion transport domain-containing protein
A0BIQ1,"Chromosome undetermined scaffold_11, whole genome shotgun sequence"
R1FVI4,Voltage dependent ion channel
A0A2R5G0C3,Sodium channel protein type 11 subunit alpha
Q9R283,Short transient receptor potential channel 2 (TrpC2) (Transient receptor protein 2) (TRP-2) (rTrp2)
A0A1L8GZV1,transmembrane protein 266 isoform X1
A0A7M5VDW6,Ion transport domain-containing protein
A0BEJ3,"Chromosome undetermined scaffold_102, whole genome shotgun sequence"
A0A1S3H9A8,"Inositol 1,4,5-trisphosphate receptor"
K8F3J6,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4
A0A7M5V0N6,Uncharacterized protein
A0A226D6F0,Transient receptor potential cation channel subfamily V member 6
T1G666,Cyclic nucleotide-binding domain-containing protein
A0A654HG69,Ion_trans domain-containing protein
A0A1S3I3C4,uncharacterized protein LOC106160659 isoform X2
A0A1Q9DMV0,Cation channel sperm-associated protein 1
A0A5N5TPV3,Two pore calcium channel protein 1
A0A0S4JQ45,"Ion transporter, putative"
A0A1Q9DM20,Sodium channel protein
A0A2P4SR04,Cyclic nucleotide-binding domain-containing protein
A0A1S3IH29,transient receptor potential cation channel subfamily M member 1-like isoform X2
A0A078B6F5,Wd-40 repeat protein
A0A087T6C7,Voltage-dependent T-type calcium channel subunit alpha-1H
A0A4E0RF74,Cyclic nucleotide-binding domain-containing protein
E9H699,BTB domain-containing protein
A0A482XSI6,Ion transport domain-containing protein
A0A4R1K594,Voltage-gated potassium channel
A0A2G9UFS5,"Transporter, cation channel family protein"
A0A6V7W9P2,Uncharacterized protein
A0A6A4VMU8,Transient receptor potential channel pyrexia
A0A7J6ZU16,Potassium voltage-gated channel subfamily KQT member 1 (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1)
K1RLC2,Potassium voltage-gated channel protein Shaker
A0A4W3HTM9,Sodium channel protein type 4 subunit alpha B-like
A0A654GY82,Cyclic nucleotide-binding domain-containing protein
A0A6G0UZ45,Cyclic nucleotide-binding domain-containing protein
A0A2A2KPG1,Voltage-dependent L-type calcium channel subunit alpha
A0A078B153,Phosphodiesterase (EC 3.1.4.-)
A0A2P4SM93,Ion transport domain-containing protein
A0A1Q9EHB0,Cyclic nucleotide-gated cation channel alpha-3
Q9JIP0,Transient receptor potential cation channel subfamily V member 5 (TrpV5) (Calcium transporter 2) (CaT2) (Epithelial calcium channel 1) (ECaC1) (Osm-9-like TRP channel 3) (OTRPC3)
Q8MQC5,"Potassium channel, KvQLT family"
A0A3P7Q3Q5,Ion transport domain-containing protein
A0A6P4ZCB3,potassium voltage-gated channel subfamily A member 1-like
L1K1N2,Ion transport domain-containing protein
A0A4U8UV29,Ion transport domain-containing protein
A0A2J6JL88,Cyclic nucleotide-binding domain-containing protein
T1HC35,Ion transport domain-containing protein
A0A0V0XJN1,Potassium voltage-gated channel subfamily H member 7
T1G6L4,Ion transport domain-containing protein
V8PD90,Potassium voltage-gated channel subfamily C member 1
A0A1X7VIF0,Cyclic nucleotide-binding domain-containing protein
A0A183AHY3,Ion_trans domain-containing protein
A0A1R2BQJ9,Cyclic nucleotide-binding domain-containing protein
A0A0G4EDZ9,Ion transport domain-containing protein
A0A3M7Q5A8,Potassium voltage-gated channel subfamily H member 2-like
A0A6P8IZM3,uncharacterized protein LOC116306713 isoform X1
A0A6P8ID13,Voltage-dependent L-type calcium channel subunit alpha
A0A1R2BHK2,Ion transport domain-containing protein
A0A7J7JAS3,Sf3b2
A0A4Z2IH54,Cyclic nucleotide-gated channel rod photoreceptor subunit alpha
A0A2P4S3V0,Cyclic nucleotide-binding domain-containing protein
F5HLF8,BK channel (Maxi K channel)
A0A7M7NGW0,Uncharacterized protein
A0A0V0XHB1,Transient receptor potential cation channel trpm
A0A4Z2FU27,Voltage-gated hydrogen channel 1 (Hydrogen voltage-gated channel 1)
A0A4W3GLS2,"Sodium leak channel, non-selective"
A0A3M0JQ63,Ion transport domain-containing protein
A0A1S3HED0,transient receptor potential cation channel subfamily M member 2 isoform X2
A0A0G4IPN1,Cyclic nucleotide-binding domain-containing protein
F1QZV9,Si:rp71-39b20.4 (potassium voltage-gated channel subfamily V member 2)
J0DCS1,Ion transport domain-containing protein
A0A5J4P1A2,Ion transport domain-containing protein
A0A7I8VSD4,DgyrCDS7300
A0A2G8JMT9,Putative short transient receptor potential channel 5
A0A0V0R930,Cyclic nucleotide-binding protein
A0A3P6S6G1,BTB domain-containing protein
A0A267GR80,Ion transport domain-containing protein
A0A6J8C2K6,KCNC1
A0A016RWP7,K+ channel tetramerisation domain protein
M7BDQ0,Potassium voltage-gated channel subfamily H member 7
A0A1S8BLV9,Calcium-channel protein cch1
A0A7J7P6K8,Ion transport domain-containing protein
S4RL10,Potassium voltage-gated channel 12a (Potassium voltage-gated channel subfamily H member 8)
A0A1D2N356,Two pore calcium channel protein 1
A0A5A8CEW8,Ion transport domain-containing protein
A0A7I8VQ10,Centromere protein L
A0A6P9A5B6,potassium voltage-gated channel subfamily KQT member 1-like isoform X4
K7KTM8,Potassium channel
A0A1I0W6G1,Voltage-gated potassium channel
A0A1N6LWE8,Ion transport domain-containing protein
A0A444V0C9,Potassium voltage-gated channel subfamily D member 3
A0A078AMX0,Cyclic nucleotide-binding domain-containing protein
A0A0G4IJT9,Ion transport domain-containing protein
A0A4E0RHX8,Potassium voltage-gated channel protein Shal
S8EK18,Potassium channel
A0A1Q9DQE3,Sodium channel protein type 4 subunit alpha B
A0A2I0UU15,Potassium voltage-gated channel subfamily V member 1 (Voltage-gated potassium channel subunit Kv8.1)
A0A2Z7C2C5,Putative cyclic nucleotide-gated ion channel 5-like
P91645,Voltage-dependent calcium channel type A subunit alpha-1 (Protein cacophony) (Protein nightblind A) (Protein no-on-transient B) (Dmca1A)
A0A024TEI3,MIR domain-containing protein
B7G2U8,Ion transport domain-containing protein
A0A4Z2H3M8,Putative voltage-dependent N-type calcium channel subunit alpha-1B
R7VE09,Ion transport domain-containing protein
A0A1Q9E3B1,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
A0DU93,"Chromosome undetermined scaffold_64, whole genome shotgun sequence"
L1IFK9,Cyclic nucleotide-binding domain-containing protein
A0A6P8YN44,Sodium channel protein
A6H8H5,Potassium voltage-gated channel subfamily B member 2 (Voltage-gated potassium channel subunit Kv2.2)
F1BZW8,Potassium voltage-gated channel subfamily A member 2
A0A1Q9DLY8,Cation channel sperm-associated protein 1
A0A0M0K1J8,Voltage-gated ion channel superfamily
Q96KK3,Potassium voltage-gated channel subfamily S member 1 (Delayed-rectifier K(+) channel alpha subunit 1) (Voltage-gated potassium channel subunit Kv9.1)
Q38BV7,"Calcium channel protein, putative"
A0A077ZSD5,Cation channel family protein
A0A2G9QIS1,Cyclic nucleotide-binding domain-containing protein
A0A6P8J3Q7,Voltage-gated hydrogen channel 1 (Hydrogen voltage-gated channel 1)
Q63472,Potassium voltage-gated channel subfamily H member 1 (Ether-a-go-go potassium channel 1) (EAG channel 1) (EAG1) (r-eag) (Voltage-gated potassium channel subunit Kv10.1)
A0A078B7F0,Cation channel family protein
A0A6P8JD01,potassium voltage-gated channel protein Shal-like
A0A1J1J8J6,"CLUMA_CG021302, isoform D"
A0A2J7ZYB9,WD repeat domain-containing protein
A0A5B8MX69,Voltage-gated ion channel protein
E4X757,Ion transport domain-containing protein
C5LUR7,EF-hand domain-containing protein
